16:01:28.926 INFO  [main] [o.s.b.t.c.SpringBootTestContextBootstrapper](AbstractTestContextBootstrapper.java:177) Using TestExecutionListeners: [org.springframework.test.context.web.ServletTestExecutionListener@1339e7aa, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener@1fb669c3, org.springframework.boot.test.mock.mockito.MockitoTestExecutionListener@49c66ade, org.springframework.boot.test.autoconfigure.SpringBootDependencyInjectionTestExecutionListener@6239aba6, org.springframework.test.context.support.DirtiesContextTestExecutionListener@3e6104fc, org.springframework.test.context.transaction.TransactionalTestExecutionListener@12359a82, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener@68df9280, org.springframework.boot.test.mock.mockito.ResetMocksTestExecutionListener@479460a6, org.springframework.boot.test.autoconfigure.restdocs.RestDocsTestExecutionListener@7164ca4c, org.springframework.boot.test.autoconfigure.web.client.MockRestServiceServerResetTestExecutionListener@4f3bbf68, org.springframework.boot.test.autoconfigure.web.servlet.MockMvcPrintOnlyOnFailureTestExecutionListener@5be46f9d, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverTestExecutionListener@3f91b517]
16:01:29.236 INFO  [main] [t.d.DeploymentApplicationTests](StartupInfoLogger.java:50) Starting DeploymentApplicationTests on liuximingdeMacBook-Pro.local with PID 54314 (started by liuximing in /Users/liuximing/Documents/liuximing/company/tron/code/wubin-one-click-deployment)
16:01:29.237 INFO  [main] [t.d.DeploymentApplicationTests](SpringApplication.java:646) No active profile set, falling back to default profiles: default
16:01:30.912 INFO  [main] [o.s.s.c.ThreadPoolTaskExecutor](ExecutorConfigurationSupport.java:171) Initializing ExecutorService 'applicationTaskExecutor'
16:01:31.103 WARN  [main] [o.s.b.a.t.ThymeleafAutoConfiguration$DefaultTemplateResolverConfiguration](ThymeleafAutoConfiguration.java:105) Cannot find template location: classpath:/templates/ (please add some templates or check your Thymeleaf configuration)
16:01:31.165 INFO  [main] [o.s.b.a.w.s.WelcomePageHandlerMapping](WelcomePageHandlerMapping.java:54) Adding welcome page: class path resource [static/index.html]
16:01:31.383 INFO  [main] [t.d.DeploymentApplicationTests](StartupInfoLogger.java:59) Started DeploymentApplicationTests in 2.413 seconds (JVM running for 3.485)
16:05:44.337 INFO  [main] [o.s.b.t.c.SpringBootTestContextBootstrapper](AbstractTestContextBootstrapper.java:308) Neither @ContextConfiguration nor @ContextHierarchy found for test class [tron.deployment.DeploymentApplicationTests], using SpringBootContextLoader
16:05:44.348 INFO  [main] [o.s.t.c.s.AbstractContextLoader](AbstractContextLoader.java:264) Could not detect default resource locations for test class [tron.deployment.DeploymentApplicationTests]: no resource found for suffixes {-context.xml, Context.groovy}.
16:05:44.349 INFO  [main] [o.s.t.c.s.AnnotationConfigContextLoaderUtils](AnnotationConfigContextLoaderUtils.java:83) Could not detect default configuration classes for test class [tron.deployment.DeploymentApplicationTests]: DeploymentApplicationTests does not declare any static, non-private, non-final, nested classes annotated with @Configuration.
16:05:44.476 INFO  [main] [o.s.b.t.c.SpringBootTestContextBootstrapper](SpringBootTestContextBootstrapper.java:235) Found @SpringBootConfiguration tron.deployment.DeploymentApplication for test class tron.deployment.DeploymentApplicationTests
16:05:44.608 INFO  [main] [o.s.b.t.c.SpringBootTestContextBootstrapper](AbstractTestContextBootstrapper.java:248) Loaded default TestExecutionListener class names from location [META-INF/spring.factories]: [org.springframework.boot.test.mock.mockito.MockitoTestExecutionListener, org.springframework.boot.test.mock.mockito.ResetMocksTestExecutionListener, org.springframework.boot.test.autoconfigure.restdocs.RestDocsTestExecutionListener, org.springframework.boot.test.autoconfigure.web.client.MockRestServiceServerResetTestExecutionListener, org.springframework.boot.test.autoconfigure.web.servlet.MockMvcPrintOnlyOnFailureTestExecutionListener, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverTestExecutionListener, org.springframework.test.context.web.ServletTestExecutionListener, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener, org.springframework.test.context.support.DependencyInjectionTestExecutionListener, org.springframework.test.context.support.DirtiesContextTestExecutionListener, org.springframework.test.context.transaction.TransactionalTestExecutionListener, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener]
